# PC88Behavior 割り込み受理ログ
#
# 記録しているのは Z80 が割り込みを受理した事実そのもの——
# 受理時の割り込みモード(im)・intr_ack()が返したレベル(level)・
# 受理直前PC(ret_pc、スタックに積まれる戻り番地)・分岐後の
# ハンドラ入口(handler_pc)・フレーム番号のみ。ROM の内容は含まない。
#
# メインCPUとサブCPUは別々のZ80として並行に走っており、互いの
# seq/frame を比較しても実際の前後関係にはならない。そのため
# 1本の列に混ぜず、CPUごとに節を分けて出す（メイン→サブの順）。
# 同一CPU内の節は seq の昇順＝発生順そのもの。
#
# clock 列（M6c）は main/sub・iolog/intlog を横断する共通の
# 単調増加通し番号。iolog の clock 列と同じ番号空間を共有して
# いるので、割り込み受理と I/O イベントの前後関係も判定できる
# （小さいほうが先に起きた）。詳細は q88h_clock.h を参照。

core      : $WORKDIR/vendor/quasi88-libretro/quasi88_libretro.dylib
rom-dir   : $PC88_REF_ROM_DIR
disk      : $PC88_REF_DISK_DIR/diskB.d88
frames    : 3600

# main
# seq    clock   frame  cpu   im  level  ret_pc  handler_pc
   307  656963    280  main   2     4   9112    9469
   308  657022    280  main   2     2   9114    9456
   309  657124    280  main   2     2   910F    9456
   310  657166    280  main   2     4   910F    9469
   311  657218    280  main   2     2   9116    9456
   312  657320    280  main   2     2   9112    9456
   313  657380    281  main   2     4   9112    9469
   314  657414    281  main   2     2   9116    9456
   315  657516    281  main   2     2   9112    9456
   316  657595    281  main   2     4   9114    9469
   317  657610    281  main   2     2   9116    9456
   318  657712    281  main   2     2   9112    9456
   319  657809    281  main   2     4   9116    9469
   320  657819    281  main   2     2   9116    9456
   321  657897    281  main   2     2   9119    9456
   322  658000    281  main   2     2   9114    9456
   323  658012    281  main   2     4   9116    9469
   324  658093    281  main   2     2   910D    9456
   325  658196    281  main   2     2   9114    9456
   326  658226    281  main   2     4   9118    9469
   327  658289    281  main   2     2   910D    9456
   328  658392    281  main   2     2   9114    9456
   329  658440    282  main   2     4   910D    9469
   330  658485    282  main   2     2   910D    9456
   331  658588    282  main   2     2   9116    9456
   332  658654    282  main   2     4   9112    9469
   333  658712    282  main   2     2   9112    9456
   334  658740    282  main   2     2   918B    9456
   335  658850    282  main   2     4   9181    9469
   336  658860    282  main   2     2   9181    9456
   337  658992    282  main   2     2   9182    9456
   338  659127    282  main   2     2   9184    9456
   339  659129    282  main   2     4   9184    9469
   340  659246    282  main   2     2   918B    9456
   341  659380    282  main   2     2   918D    9456
   342  659406    282  main   2     4   918B    9469
   343  659499    282  main   2     2   9184    9456
   344  659633    282  main   2     2   9184    9456
   345  659682    283  main   2     4   9181    9469
   346  659740    283  main   2     2   9181    9456
   347  659807    283  main   2     2   9189    9456
   348  659881    283  main   2     4   9185    9469
   349  659926    283  main   2     2   9191    9456
   350  660060    283  main   2     2   9181    9456
   351  660158    283  main   2     4   918D    9469
   352  660179    283  main   2     2   9189    9456
   353  660313    283  main   2     2   9189    9456
   354  660435    283  main   2     4   9184    9469
   355  660445    283  main   2     2   9184    9456
   356  660566    283  main   2     2   9181    9456
   357  660700    283  main   2     2   9182    9456
   358  660711    283  main   2     4   9189    9469
   359  660769    283  main   2     2   9189    9456
   360  660869    284  main   2     2   9188    9456
   361  660904    284  main   2     4   918C    9469
   362  660988    284  main   2     2   9190    9456
   363  661122    284  main   2     2   9191    9456
   364  661180    284  main   2     4   9181    9469
   365  661241    284  main   2     2   9188    9456
   366  661375    284  main   2     2   9188    9456
   367  661457    284  main   2     4   9189    9469
   368  661494    284  main   2     2   9190    9456
   369  661628    284  main   2     2   9191    9456
   370  661734    284  main   2     4   9191    9469
   371  661792    284  main   2     2   9191    9456
   372  661803    284  main   2     2   9184    9456
   373  661932    284  main   2     4   9182    9469
   374  661942    284  main   2     2   9182    9456
   375  662047    284  main   2     2   9112    9456
   376  662150    285  main   2     2   910D    9456
   377  662165    285  main   2     4   910F    9469
   378  662244    285  main   2     2   9114    9456
   379  662346    285  main   2     2   910D    9456
   380  662379    285  main   2     4   9112    9469
   381  662440    285  main   2     2   9114    9456
   382  662542    285  main   2     2   910D    9456
   383  662594    285  main   2     4   9114    9469
   384  662652    285  main   2     2   9114    9456
   385  662690    285  main   2     2   9118    9456
   386  662759    285  main   2     4   9112    9469
   387  662783    285  main   2     2   9112    9456
   388  662886    285  main   2     2   9118    9456
   389  662974    285  main   2     4   9114    9469
   390  662984    285  main   2     2   9114    9456
   391  663082    285  main   2     2   9119    9456
   392  663185    286  main   2     2   9114    9456
   393  663188    286  main   2     4   910D    9469
   394  663278    286  main   2     2   9119    9456
   395  663381    286  main   2     2   9114    9456
   396  663402    286  main   2     4   9112    9469
   397  663460    286  main   2     2   9112    9456
   398  663528    286  main   2     2   9112    9456
   399  663568    286  main   2     4   9112    9469
   400  663622    286  main   2     2   9116    9456
   401  663724    286  main   2     2   9112    9456
   402  663783    286  main   2     4   9114    9469
   403  663818    286  main   2     2   9116    9456
   404  663920    286  main   2     2   9112    9456
   405  663997    286  main   2     4   9116    9469
   406  664014    286  main   2     2   9116    9456
   407  664145    286  main   2     2   9182    9456
   408  664269    287  main   2     4   9191    9469
   409  664327    287  main   2     2   9191    9456
   410  664455    287  main   2     2   918B    9456
   411  664467    287  main   2     4   9182    9469
   412  664573    287  main   2     2   9182    9456
   413  664708    287  main   2     2   9184    9456
   414  664744    287  main   2     4   9189    9469
   415  664827    287  main   2     2   918B    9456
   416  664961    287  main   2     2   918C    9456
   417  665021    287  main   2     4   9191    9469
   418  665079    287  main   2     2   9182    9456
   419  665214    287  main   2     2   9184    9456
   420  665298    287  main   2     4   9188    9469
   421  665356    287  main   2     2   9188    9456
   422  665388    287  main   2     2   9189    9456
   423  665497    288  main   2     4   918B    9469
   424  665507    288  main   2     2   9191    9456
   425  665641    288  main   2     2   9181    9456
   426  665773    288  main   2     4   9181    9469
   427  665783    288  main   2     2   9181    9456
   428  665894    288  main   2     2   9189    9456
   429  666029    288  main   2     2   918B    9456
   430  666050    288  main   2     4   9185    9469
   431  666147    288  main   2     2   9181    9456
   432  666281    288  main   2     2   9181    9456
   433  666327    288  main   2     4   918D    9469
   434  666385    288  main   2     2   918D    9456
   435  666450    288  main   2     2   9188    9456
   436  666519    288  main   2     4   9191    9469
   437  666569    288  main   2     2   9190    9456
   438  666703    288  main   2     2   9190    9456
   439  666796    289  main   2     4   9188    9469
   440  666822    289  main   2     2   9185    9456
   441  666956    289  main   2     2   9188    9456
   442  667073    289  main   2     4   9190    9469
   443  667083    289  main   2     2   9190    9456
   444  667209    289  main   2     2   9191    9456
   445  667335    289  main   2     2   9112    9456
   446  667341    289  main   2     4   9114    9469
   447  667399    289  main   2     2   9114    9456
   448  667483    289  main   2     2   910D    9456
   449  667506    289  main   2     4   9112    9469
   450  667576    289  main   2     2   9112    9456
   451  667679    289  main   2     2   910D    9456
   452  667721    289  main   2     4   9114    9469
   453  667773    289  main   2     2   9114    9456
   454  667875    290  main   2     2   910D    9456
   455  667935    290  main   2     4   9116    9469
   456  667969    290  main   2     2   9114    9456
   457  668071    290  main   2     2   910D    9456
   458  668149    290  main   2     4   9118    9469
   459  668207    290  main   2     2   9118    9456
   460  668219    290  main   2     2   9118    9456
   461  668315    290  main   2     4   9116    9469
   462  668325    290  main   2     2   9116    9456
   463  668415    290  main   2     2   9118    9456
   464  668518    290  main   2     2   9114    9456
   465  668529    290  main   2     4   910D    9469
   466  668611    290  main   2     2   9118    9456
   467  668714    290  main   2     2   9114    9456
   468  668743    290  main   2     4   9112    9469
   469  668807    290  main   2     2   9119    9456
   470  668910    291  main   2     2   9114    9456
   471  668958    291  main   2     4   9114    9469
   472  669016    291  main   2     2   9114    9456
   473  669057    291  main   2     2   9112    9456
   474  669123    291  main   2     4   9112    9469
   475  669151    291  main   2     2   9116    9456
   476  669253    291  main   2     2   9112    9456
   477  669338    291  main   2     4   9114    9469
   478  669348    291  main   2     2   9114    9456
   479  669449    291  main   2     2   9112    9456
   480  669581    291  main   2     4   918D    9469
   481  669591    291  main   2     2   918D    9456
   482  669700    291  main   2     2   9185    9456
   483  669834    291  main   2     2   9188    9456
   484  669857    291  main   2     4   9181    9469
   485  669915    291  main   2     2   9181    9456
   486  670009    292  main   2     2   918B    9456
   487  670056    292  main   2     4   9185    9469
   488  670127    292  main   2     2   9182    9456
   489  670262    292  main   2     2   9184    9456
   490  670333    292  main   2     4   918D    9469
   491  670381    292  main   2     2   918B    9456
