# PC88Behavior バスアクセス採取結果
# 記録しているのはアドレスとアクセス種別のみ。ROM の内容は含まない。

core      : $WORKDIR/vendor/quasi88-libretro/quasi88_libretro.dylib
rom-dir   : $PC88_REF_ROM_DIR
disk      : (なし)
frames    : 600
type      : (なし)

[測定終了時のテキスト画面]
   1| How many files(0-15)?
  19|       load "        auto          go to         list          run

[メインCPU] 総アクセス回数: exec=5019141 read=4869253 write=1563198 in=14583 out=4340

[メインCPU 実行された番地 (fetch)]
  630F-630F  (1)
  6312-6312  (1)
  6314-6314  (1)
  6316-6316  (1)
  6318-6318  (1)
  631A-631B  (2)
  631D-631D  (1)
  631F-631F  (1)
  6322-6322  (1)
  6324-6324  (1)
  6327-6327  (1)
  6329-6329  (1)
  632C-632C  (1)
  632F-6331  (3)
  6334-6335  (2)
  6337-6339  (3)
  633C-633C  (1)
  633E-6341  (4)
  6344-6346  (3)
  6348-634A  (3)
  634D-634D  (1)
  6352-6352  (1)
  6355-6356  (2)
  6359-6359  (1)
  635C-635C  (1)
  635F-635F  (1)
  6362-6362  (1)
  6365-6365  (1)
  6368-6368  (1)
  636B-636B  (1)
  636E-6371  (4)
  6374-6376  (3)
  6379-6379  (1)
  637C-637C  (1)
  637F-637F  (1)
  6382-6382  (1)
  6384-6384  (1)
  6387-6387  (1)
  638A-638A  (1)
  638D-638D  (1)
  6390-6390  (1)
  6392-6392  (1)
  6395-6395  (1)
  6398-6398  (1)
  639B-639B  (1)
  639D-639E  (2)
  63A1-63A1  (1)
  63A4-63A4  (1)
  63A7-63A8  (2)
  63AB-63AD  (3)
  63B0-63B1  (2)
  63B4-63B4  (1)
  63B7-63B8  (2)
  63BB-63BC  (2)
  63BF-63C0  (2)
  63C3-63C3  (1)
  63C6-63C6  (1)
  63C9-63C9  (1)
  63CC-63CE  (3)
  63D1-63D2  (2)
  63D5-63D5  (1)
  63D8-63D8  (1)
  63DB-63DF  (5)
  63E2-63E2  (1)
  63E5-63E5  (1)
  63E8-63E8  (1)
  63EB-63ED  (3)
  63F0-63F0  (1)
  63F3-63F3  (1)
  63F6-63F6  (1)
  63F9-63F9  (1)
  63FC-63FC  (1)
  63FF-63FF  (1)
  6402-6404  (3)
  6407-6407  (1)
  640A-640A  (1)
  640D-640D  (1)
  6410-6410  (1)
  6413-6413  (1)
  6416-6417  (2)
  641A-641B  (2)
  641E-641F  (2)
  6425-6425  (1)
  6481-6482  (2)
  6485-6488  (4)
  648B-648B  (1)
  648E-648E  (1)
  6491-6492  (2)
  6495-6496  (2)
  6499-6499  (1)
  649C-649C  (1)
  649F-649F  (1)
  64A1-64A1  (1)
  64A4-64A4  (1)
  64A6-64A6  (1)
  64A9-64AA  (2)
  64AC-64AD  (2)
  64C7-64C7  (1)
  64E5-64E5  (1)
  64F3-64F4  (2)
  64F7-64F7  (1)
  64F9-64F9  (1)
  64FC-64FC  (1)
  64FE-64FE  (1)
  6501-6501  (1)
  6503-6503  (1)
  6505-6505  (1)
  6509-6509  (1)
  650C-650C  (1)
  650E-650F  (2)
  6511-6512  (2)
  6514-6517  (4)
  651A-651A  (1)
  651C-651D  (2)
  6520-6520  (1)
  6522-6522  (1)
  6525-6529  (5)
  652B-652E  (4)
  6531-6533  (3)
  6536-6537  (2)
  6539-6539  (1)
  653B-653C  (2)
  653E-653F  (2)
  6541-6542  (2)
  681F-6820  (2)
  6823-6823  (1)
  6826-6826  (1)
  6829-6829  (1)
  682C-682C  (1)
  682F-682F  (1)
  6832-6832  (1)
  6835-6835  (1)
  6838-6838  (1)
  683B-683B  (1)
  683E-683E  (1)
  6841-6841  (1)
  6844-6844  (1)
  6847-6847  (1)
  684A-684A  (1)
  684D-684D  (1)
  6850-6850  (1)
  6853-6853  (1)
  6856-6856  (1)
  6859-6859  (1)
  685C-685F  (4)
  6861-6862  (2)
  6865-6865  (1)
  6868-6868  (1)
  686B-686B  (1)
  686E-686E  (1)
  6871-6871  (1)
  6874-6874  (1)
  6877-6877  (1)
  68A3-68A4  (2)
  69B2-69B2  (1)
  69B5-69B5  (1)
  69B7-69B7  (1)
  69BA-69BA  (1)
  69BC-69BD  (2)
  69BF-69BF  (1)
  69C2-69C2  (1)
  69C4-69C4  (1)
  69C7-69C7  (1)
  69D1-69D1  (1)
  69D4-69D8  (5)
  69DB-69DB  (1)
  69DE-69E1  (4)
  69E4-69E4  (1)
  69E7-69E8  (2)
  69EA-69EA  (1)
  69EC-69EC  (1)
  69EE-69EF  (2)
  69F1-69F1  (1)
  69F5-69F6  (2)
  69F9-69FB  (3)
  6B5C-6B5C  (1)
  6B62-6B62  (1)
  6EB6-6EB6  (1)
  6F0A-6F0A  (1)
  6F6A-6F6C  (3)
  6F6F-6F6F  (1)
  6F72-6F72  (1)
  6F75-6F76  (2)
  6F79-6F79  (1)
  6F7B-6F7B  (1)
  6F7E-6F7E  (1)
  6F83-6F84  (2)
  6F87-6F88  (2)
  6F8B-6F8C  (2)
  6F8E-6F8F  (2)
