# PC88Behavior バスアクセス採取結果
# 記録しているのはアドレスとアクセス種別のみ。ROM の内容は含まない。

core      : $WORKDIR/vendor/quasi88-libretro/quasi88_libretro.dylib
rom-dir   : $PC88_REF_ROM_DIR
disk      : $PC88_REF_DISK_DIR/voiceeditor.d88
frames    : 3600
type      : (なし)

[測定終了時のテキスト画面]
   0|   [PCM VOICE EDITOR Ver.02]              2.0sec 16.0KHz
   1|     Programed By HAYASHI.                    BANK= 0
   3|     PLAY:[1]<->[7]
   5|     SUMPLING:[F5]
   7|     BANK:    [ROLL]
   9|     LOAD:    [F1]
  10|     SAVE:    [F2]
  11|     RAMwrite:[F3]
  12|     RAMread: [F4]
  14|     EDIT:    [KANA]
  15|     REPEAT:  [CAPS]
  16|     BANKslct:[TAB]
  18|     VOLUME= 128  [    ]

[メインCPU] 総アクセス回数: exec=31038976 read=25109011 write=7885738 in=239734 out=235093

[メインCPU 実行された番地 (fetch)]
  0EBC-0EBC  (1)
  0EBF-0EC0  (2)
  0EC2-0EC4  (3)
  0EC6-0EC8  (3)
  0ECB-0ECB  (1)
  0ECE-0ECF  (2)
  0F86-0F88  (3)
  0F8B-0F8B  (1)
  0F8E-0F8E  (1)
  0F91-0F93  (3)
  0F96-0F98  (3)
  0F9B-0F9C  (2)
  0F9F-0F9F  (1)
  0FA2-0FA5  (4)
  0FA8-0FAA  (3)
  0FAC-0FAC  (1)
  11D1-11D1  (1)
  11D3-11D4  (2)
  11D6-11D7  (2)
  11D9-11D9  (1)
  11DC-11DC  (1)
  11DF-11DF  (1)
  11E2-11E3  (2)
  11E6-11E6  (1)
  11E9-11E9  (1)
  11EC-11EE  (3)
  11F1-11F1  (1)
  11F3-11F4  (2)
  11F6-11F6  (1)
  11F8-11F8  (1)
  11FA-11FB  (2)
  11FD-11FD  (1)
  1200-1200  (1)
  1202-1203  (2)
  1206-1206  (1)
  1208-1209  (2)
  120C-120C  (1)
  120E-1214  (7)
  1217-1219  (3)
  1220-1220  (1)
  1222-1222  (1)
  1224-1224  (1)
  1226-1226  (1)
  1228-1228  (1)
  122A-122A  (1)
  122D-122D  (1)
  1230-1230  (1)
  1232-1232  (1)
  1235-123A  (6)
  123D-1242  (6)
  1251-1251  (1)
  1253-1256  (4)
  1259-125A  (2)
  125D-125D  (1)
  1260-1260  (1)
  1262-1262  (1)
  1264-1264  (1)
  1266-1266  (1)
  1268-1268  (1)
  126A-126A  (1)
  126C-1270  (5)
  1273-1273  (1)
  1276-1277  (2)
  1286-1287  (2)
  128A-128C  (3)
  128F-128F  (1)
  1291-1292  (2)
  1294-1297  (4)
  129A-129A  (1)
  129D-129F  (3)
  12AB-12AD  (3)
  12B0-12B0  (1)
  12B3-12B4  (2)
  12B6-12B6  (1)
  12B8-12B8  (1)
  12C1-12C3  (3)
  12C5-12C5  (1)
  12C7-12C8  (2)
  12CA-12CA  (1)
  12CC-12CD  (2)
  12CF-12CF  (1)
  12D1-12D2  (2)
  12D4-12D4  (1)
  12D7-12D7  (1)
  12D9-12D9  (1)
  12DC-12DC  (1)
  12DE-12E4  (7)
  12E7-12E8  (2)
  1302-1302  (1)
  1305-130F  (11)
  1323-1323  (1)
  1326-1328  (3)
  132B-132B  (1)
  132D-132E  (2)
  1331-1331  (1)
  1334-1334  (1)
  1337-1338  (2)
  133B-133C  (2)
  133F-133F  (1)
  1350-1350  (1)
  1352-1353  (2)
  1355-1355  (1)
  1357-1357  (1)
  135A-135B  (2)
  135D-135F  (3)
  1362-1362  (1)
