record	candidate_id	arm	physical_row	char_count	sha256
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_NONE	L96	14	74	1139d41debb36b0ec8124ccb0e158ec3536d147155020c6a452daf71d42d0eaa
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_NONE	L96	15	74	a0b0d787d9eae4c5c9e97bee7a509a0063a0363a458e23b5daf0cc0c93bb6c49
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_NONE	L96	16	74	57a6b2292a34a03538f7a1f76109db60d6dcf51807132766bc4526b28f759b52
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_NONE	L96	17	10	38cc178da03edac1820af527289441ccd90e4a68c844e979d54dd0b31089ccb2
summary	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_NONE	L96	-	18	bea133aa7a6a66984d8202aba4c833a016f9cfde551ebbf35ab3d8c39552eb9d
summary	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_UNITS	L0	-	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
row	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_UNITS	L1	0	12	898a86928e13d2d8a20712fcae09a74c8fa44aa74a5e7eaf0cbc45f9ba557638
summary	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_UNITS	L1	-	1	803426cd9fa826ca22d01671acdad76515d27807ffcc6e975ac08d102d1ac1b0
row	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_UNITS	L4	0	60	dc03f4fe43fa4a1ef4861dd5edcb8aebf0de13ad85cbebec12db6267a0e7c0fb
summary	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_UNITS	L4	-	1	5845386efb186e6b7a6f47632e6ccd7fa3ef873290a9b853b70594ef84a6b80c
row	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_UNITS	L5	0	76	6040aed6323cc7f1fdee681e2705a28c757c6a384954075d2c7039d9ac0e2a43
summary	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_UNITS	L5	-	1	dfdcad946cb4e11e496f2ae4bd7139a975bf13055f07bfab4ef6f2a46cf48c26
row	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_UNITS	L6	0	76	6040aed6323cc7f1fdee681e2705a28c757c6a384954075d2c7039d9ac0e2a43
row	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_UNITS	L6	1	12	ce3f0fb74253813667d2403a839b542ee1c2fdccb4139c36c69fbcedce644edd
summary	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_UNITS	L6	-	2	de6da96c9dadbefb2b6fa43ecc804e33461925da8853114491e930dbbf863318
row	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_UNITS	L11	0	76	5b99bc80800668f10dec475a99c652845518d1dc6cf6579c6f3ddd5d866cf31b
row	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_UNITS	L11	1	77	eaea9cb79edb4a89b4af7a0f4dfe69546c61195e3de6e120194b7c66ea4bcc7f
row	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_UNITS	L11	2	12	e683cb8b72d7c426628079ad3bebca9f59792162723ba30026dc6445193fb25f
summary	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_UNITS	L11	-	3	761e39a2b48a53e9dd5a60623cd1b7012179408e65125bcc56bbd284a92a7ba6
row	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_UNITS	L96	0	76	53bd3564ebfcd0db1bb597ba20a9cb70703370a48262a48a041bf55ba29c2bac
row	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_UNITS	L96	1	76	6b7cc4361fe87543a6766148a4e07561b451c60b4d655716e40025220a018e93
row	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_UNITS	L96	2	76	c70a6f9674131483053faacb92dc6cdeead77c13b643974d1c6d909a47491268
row	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_UNITS	L96	3	76	6c1bbe5a99e3a64b9e13f518cc35ecbd2a6b7be58724547d0c0d548a3178e67f
row	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_UNITS	L96	4	76	c321bc551ea7797d003b51a4e993593cc441bf5af4feec50fa99c0e78f6db225
row	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_UNITS	L96	5	76	0a2db34b845063798be2f5e33c557d65969fca4105a6b71b7600125b221ccff9
row	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_UNITS	L96	6	76	7824d38dca37aeb4d799723ee9f77b330c213c73c879e700a2e60152158acbfb
row	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_UNITS	L96	7	76	e152b0de7a20ef2106d8c5cc758d3d3810f0ff58848b439528c92ebd5a4bcc67
row	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_UNITS	L96	8	76	2382347ec18ecbc9550a9436b828a27f1a75e9b3d93d6a0dec8551fe4ed38362
row	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_UNITS	L96	9	76	164d2bb598167ca4a45470116bb4c4f86ac35ddf23aad032eb8adc52296c463a
row	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_UNITS	L96	10	76	0fc790b634042889a90e3529493d729d4deb35155863e7fe9ef3ebfdf85728a9
row	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_UNITS	L96	11	76	a5fc256410cea95b7776329f2886c3106a6d9d3d0644179df2a943ee3bcce2bd
row	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_UNITS	L96	12	76	0a2612724d6f0bd9a6e00002774daa6af503693c01ab8ac29741c00d2df4ab60
row	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_UNITS	L96	13	76	85f2216c07374930592d2be78ee84cc4008dc9454a8c3b5ca2efc11bf9cb1359
row	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_UNITS	L96	14	76	27695218bb45957a505b968dc71cf2508bfffc8a59ffcdc09ecce1c9e353d174
row	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_UNITS	L96	15	76	f1e98d504bd4f68aef84bd136ca5300ed42cffbac0430ac702479817072e4fe6
row	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_UNITS	L96	16	76	46b5d01c202d14f655fa1e27b08bf5d0b7289dad14f1b354519127f2a68f83c9
row	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_UNITS	L96	17	12	68027c99a48bf5a43177be5d5ab4490dfbfa9f0f3bf241029fe8def710f9e0d1
summary	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_UNITS	L96	-	18	26b8c74dbeaa39b4f590cae986945f0b30fa8d03b61fe8f0a65137afe3637820
summary	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_SECTORS	L0	-	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
row	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_SECTORS	L1	0	12	898a86928e13d2d8a20712fcae09a74c8fa44aa74a5e7eaf0cbc45f9ba557638
summary	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_SECTORS	L1	-	1	803426cd9fa826ca22d01671acdad76515d27807ffcc6e975ac08d102d1ac1b0
row	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_SECTORS	L4	0	60	dc03f4fe43fa4a1ef4861dd5edcb8aebf0de13ad85cbebec12db6267a0e7c0fb
summary	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_SECTORS	L4	-	1	5845386efb186e6b7a6f47632e6ccd7fa3ef873290a9b853b70594ef84a6b80c
row	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_SECTORS	L5	0	76	6040aed6323cc7f1fdee681e2705a28c757c6a384954075d2c7039d9ac0e2a43
summary	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_SECTORS	L5	-	1	dfdcad946cb4e11e496f2ae4bd7139a975bf13055f07bfab4ef6f2a46cf48c26
row	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_SECTORS	L6	0	76	6040aed6323cc7f1fdee681e2705a28c757c6a384954075d2c7039d9ac0e2a43
row	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_SECTORS	L6	1	12	ce3f0fb74253813667d2403a839b542ee1c2fdccb4139c36c69fbcedce644edd
summary	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_SECTORS	L6	-	2	de6da96c9dadbefb2b6fa43ecc804e33461925da8853114491e930dbbf863318
row	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_SECTORS	L11	0	76	5b99bc80800668f10dec475a99c652845518d1dc6cf6579c6f3ddd5d866cf31b
